사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021081700100306,2021년 8월 17일 15시,화요일,서울특별시 도봉구 쌍문동,,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),여,52세,상해없음,보행자,여,62세,경상,"[203484.87799889, 461923.77635691]",EPSG:5181
2021081800100115,2021년 8월 18일 10시,수요일,서울특별시 송파구 석촌동,,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,25세,상해없음,보행자,여,58세,중상,"[209300.70079408, 444533.8105517]",EPSG:5181
2021081800100214,2021년 8월 18일 13시,수요일,서울특별시 송파구 송파동,,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,남,34세,경상,"[209702.61591643, 445333.26516725]",EPSG:5181
2021081900100088,2021년 8월 19일 09시,목요일,서울특별시 동대문구 장안동,,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,59세,상해없음,보행자,여,38세,경상,"[206555.24414129, 452504.39704462]",EPSG:5181
2021082000100441,2021년 8월 20일 18시,금요일,서울특별시 서초구 서초동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),여,21세,상해없음,보행자,남,45세,경상,"[201793.12732006, 444835.05982537]",EPSG:5181
2021082000100634,2021년 8월 20일 23시,금요일,서울특별시 노원구 상계동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,비,단일로 - 기타,개인형이동수단(PM),남,18세,상해없음,자전거,남,45세,경상,"[205959.33437352, 461458.77923435]",EPSG:5181
2021082200100282,2021년 8월 22일 18시,일요일,서울특별시 서초구 반포동,,경상사고,0,0,1,0,차대차 - 측면충돌,기타,-,비,단일로 - 기타,개인형이동수단(PM),남,34세,경상,승용,남,55세,상해없음,"[199975.89717201, 444556.30004868]",EPSG:5181
2021082300100108,2021년 8월 23일 10시,월요일,서울특별시 노원구 상계동,,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,32세,중상,승용,남,40세,상해없음,"[204891.98707086, 463695.97643582]",EPSG:5181
2021082500100036,2021년 8월 25일 06시,수요일,서울특별시 중랑구 상봉동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,36세,상해없음,보행자,여,37세,경상,"[207438.36943044, 455178.15931009]",EPSG:5181
2021082500100289,2021년 8월 25일 15시,수요일,서울특별시 동작구 흑석동,,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,25세,경상,화물,남,73세,상해없음,"[197412.89722968, 445121.90805248]",EPSG:5181
2021082700100480,2021년 8월 27일 20시,금요일,서울특별시 서대문구 충정로3가,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,남,55세,경상,"[196857.05898875, 451448.40215936]",EPSG:5181
